timestamp,test-class,test-method,time,description,result
2021-12-12 21:06:39.298,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,negativeUpdate,4807,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED, newStatus=null",OK
2021-12-12 21:06:44.233,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,negativeUpdate,4717,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED, newStatus=null",OK
2021-12-12 21:06:49.16,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,negativeUpdate,4724,"[3] recordIndex=2, username=officer, name=officer, surname=Officer, email=officer@acme.com, roles=Officer Administrator Administrator Authenticated Authenticated, status=ENABLED, newStatus=null",OK
2021-12-12 21:06:54.112,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,negativeUpdate,4749,"[4] recordIndex=3, username=officer2, name=officer, surname=Officer, email=officer2@acme.com, roles=Officer, status=ENABLED, newStatus=null",OK
2021-12-12 21:06:59.201,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,positiveUpdate,4765,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED, newStatus=null",OK
2021-12-12 21:07:04.111,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,positiveUpdate,4688,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED, newStatus=null",OK
2021-12-12 21:07:09.143,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,positiveUpdate,4802,"[3] recordIndex=2, username=officer, name=officer, surname=Officer, email=officer@acme.com, roles=Officer Administrator Administrator Authenticated Authenticated, status=ENABLED, newStatus=null",OK
2021-12-12 21:07:15.917,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,positiveUpdate,6543,"[4] recordIndex=3, username=officer2, name=officer, surname=Officer, email=officer2@acme.com, roles=Officer, status=ENABLED, newStatus=DISABLED",OK
2021-12-12 21:07:23.845,acme.testing.administrator.userAccount.AdministratorUserAccountListShowTest,negativeShowUserAccounts,390,"negativeShowUserAccounts()",OK
2021-12-12 21:07:30.134,acme.testing.administrator.userAccount.AdministratorUserAccountListShowTest,positiveListAndShowUserAccount,6016,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED, newStatus=null",OK
2021-12-12 21:07:36.328,acme.testing.administrator.userAccount.AdministratorUserAccountListShowTest,positiveListAndShowUserAccount,5977,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED, newStatus=null",OK
2021-12-12 21:07:42.586,acme.testing.administrator.userAccount.AdministratorUserAccountListShowTest,positiveListAndShowUserAccount,6029,"[3] recordIndex=2, username=officer, name=officer, surname=Officer, email=officer@acme.com, roles=Officer Administrator Administrator Authenticated Authenticated, status=ENABLED, newStatus=null",OK
2021-12-12 21:07:48.843,acme.testing.administrator.userAccount.AdministratorUserAccountListShowTest,positiveListAndShowUserAccount,6027,"[4] recordIndex=3, username=officer2, name=officer, surname=Officer, email=officer2@acme.com, roles=Officer, status=ENABLED, newStatus=KEEP",OK
2021-12-12 21:07:58.224,acme.testing.anonymous.shout.AnonymousShoutListTest,positiveListShout,1799,"[1] recordIndex=0, moment=2021/12/06 00:00, author=Foo Bar, text=Just turning 50!, info=https://conpdeparty.com/617-large_default/globo-foil-happy-birthday-rosa-oro.jpg",OK
2021-12-12 21:08:00.265,acme.testing.anonymous.shout.AnonymousShoutListTest,positiveListShout,1822,"[2] recordIndex=2, moment=2021/12/08 00:00, author=Michael Jackson, text=Thriller!!, info=null",OK
2021-12-12 21:08:02.331,acme.testing.anonymous.shout.AnonymousShoutListTest,positiveListShout,1850,"[3] recordIndex=5, moment=2021/12/09 19:34, author=Mike Machine, text=Everything has beauty, but not everyone sees it, info=https://www.intentarlo.com/wp-content/uploads/2018/06/frases-en-ingl%C3%A9s.jpg",OK
2021-12-12 21:08:04.413,acme.testing.anonymous.shout.AnonymousShoutListTest,positiveListShout,1880,"[4] recordIndex=8, moment=2021/12/10 09:02, author=Mary Smith, text=I'm very sad, info=https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F38%2F2020%2F04%2F15%2FGettyImages-1035456488-2000.jpg",OK
